Municipio,Circunscripcion,Recinto,Sector,Colegios
SANTO DOMINGO ESTE,3,ESCUELA BASICA DE NICARAGUA,CIUDAD DEL ALMIRANTE,1675 1675A 1675B 1675C 1675D 1675E 1675F 1675G 1675H 1831 1861 1986 2089 2283
SANTO DOMINGO ESTE,3,ESCUELA BASICA FERNANDO ALBERTO DEFILLO,LOS FRAILES,1385 1385A 1385B 1385C 1385D 1385E 1385F 1385G 1613 1613A 1613B 1613C 1670 1670A 1670B 1670C 1862 1913 2148 2253 2284
SANTO DOMINGO ESTE,1,ESCUELA GENERAL GREGORIO LUPERON,RALMA,1000 1000A 1000B 1000C 1000D 1331 1331A 1331B 1383 1383A 1664 1664A 1664B 1664C 1727 1755 1789 1818 1832 2021 2043 2105 2149 2163 2285
SANTO DOMINGO ESTE,1,ESCUELA PARROQUIA FE Y ALEGRIA,LOS MAMEYES,1397 1397A 1397B 1397C 1576 1576A 1576B 1665 1665A 2003 2181 2286
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO ALMA ROSA CHOTHEN,SAVICA DE MENDOZA,1001 1001A 1001B 1001C 1647 1647A 1819 1863 1955 2065
SANTO DOMINGO ESTE,2,ESCUELA RAFAEL DE LA ROSA LARA,LOS MINA NUEVO,0888 0888A 0889 0889A 0909 0909A 0910 0910A 0910B
SANTO DOMINGO ESTE,3,LICEO PROFESOR SIMON OROZCO,INVIVIENDA,1470 1470A 1470B 1470C 1470D 1470E 1470F 1608 1608A 1608B 1608C 1608D 1608E 1820 1833 1864 1914 2049 2104 2182 2287 2366
SANTO DOMINGO ESTE,1,COLEGIO TIRSO DE MOLINA,VILLA FARO,1409 1409A 1409B 1570 1570A 1570B 1570C 2254 2367
SANTO DOMINGO ESTE,3,ESCUELA INMACULADA FE Y ALEGRIA,BARRIO NUEVO LOS FRAILES,1685 1731 1767 1865 1916 2048 2131 2150 2219 2288 2358
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA BRISAS DEL ESTE,BRISAS DEL ESTE,1710 1732 1768 1956 1998 2127 2151 2220
SANTO DOMINGO ESTE,3,CENTRO DE ESTUDIOS JEHOVA ES MI PROVEEDOR,CANCINO ADENTRO,1695 1751 1866 2032 2198 2289
SANTO DOMINGO ESTE,3,ESCUELA BASICA DR. JOSE FCO. PEÑA GOMEZ,EL ALMIRANTE,1712 1733 1769 1834 1867 1917 1957 1976 2066 2091 2152 2199 2221 2290
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO JIMENEZ DE LOS SANTOS,ISABELITA,1699 1734 1770 1868 1918 2031 2084
SANTO DOMINGO ESTE,1,CLUB DEPORTIVO Y CULTURAL OZAMA (MERLIN),OZAMA,0971 0971A 0972 0972A 1714 1869 2038 2183
SANTO DOMINGO ESTE,3,ESCUELA BASICA ENRIQUILLO,HAINAMOSA,1701 1736 1796 1835 1871 1978 2135 2154 2222 2291 2359
SANTO DOMINGO ESTE,3,CENTRO EDUCATIVO INVI RONDA,INVIVIENDA,1688 1737 1772 1872 1920 2041 2223 2292
SANTO DOMINGO ESTE,2,COLEGIO LA PROBIDAD,JARDINES DEL OZAMA,1689 1773 2010 2256
